,Unnamed: 0,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Area
185,185,AOL," Yahoo, Google, Facebook", 1985,"New York, NY",Publishing,,Verizon, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public,Goods & Svcs
186,186,RBC," Barclays, Morgan Stanley, TD", 1869,"Toronto, ON (Canada)",Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (RY) ,Finance
187,187,Capri Holdings," Ralph Lauren, Coach, Burberry", 1981,"New York, NY",Other Retail Stores,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public (CPRI) ,Fashion/Retail
188,188,Zocdoc, Unknown, 2007,"New York, NY",Internet,,, Unknown / Non-Applicable,501 to 1000 employees, Company - Private,Technology
189,189,Panera Bread, Unknown, 1981,"Saint Louis, MO",Casual Restaurants,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (PNRA) ,Goods & Svcs
190,190,AMC Entertainment, Unknown, 1920,"Leawood, KS",Movie Theaters,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (AMC) ,Entertainment
191,191,Grey Group," Interpublic Group, Omnicom, Publicis", 1917,"New York, NY",Advertising & Marketing,,WPP, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,Finance
192,192,Capgemini,, 1967,Issy-les-Moulineaux (France),Enterprise Software & Network Solutions,,, $10+ billion (USD) per year,10000+ employees, Company - Public,Technology
193,193,TIAA,, 1918,"New York, NY",Investment Banking & Asset Management,,, $100 to $500 million (USD) per year,5001 to 10000 employees, Company - Private,Finance
194,194,Panasonic,, 1918,"Newark, NJ",Electrical & Electronic Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Goods & Svcs
195,195,GameStop, Unknown, 2000,"Grapevine, TX",Toy & Hobby Stores,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (GME) ,Goods & Svcs
196,196,Capco,, 1998,"London, England (UK)",Consulting,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Public,Goods & Svcs
197,197,Samsung Electronics America,, 1938,"Ridgefield Park, Bergen, NJ",Computer Hardware & Software,,Samsung Electronics, $10+ billion (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,Technology
198,198,Dow Jones,, 1882,"Monmouth Junction, NJ",News Outlet,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,Entertainment
199,199,Modell's Sporting Goods," DICK'S Sporting Goods, Foot Locker, Finish Line", 1889,"New York, NY",Sporting Goods Stores,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Private,Goods & Svcs
200,200,Stevens Institute of Technology, Unknown, 1870,"Hoboken, NJ",Colleges & Universities,,, $100 to $500 million (USD) per year,501 to 1000 employees, College / University,Education
201,201,Nomura Holdings, Unknown, 1925,Tokyo (Japan),Investment Banking & Asset Management,,, $10+ billion (USD) per year,10000+ employees, Company - Public (NMR) ,Finance
202,202,Benjamin Moore, Unknown, 1883,"Montvale, NJ",Consumer Products Manufacturing,,Berkshire Hathaway, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,Goods & Svcs
203,203,PSEG,, 1903,"Newark, NJ",Utilities,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (PEG) ,Govnt/Utilities
204,204,Major League Baseball (MLB),, 1869,"New York, NY",Sports & Recreation,,, Unknown / Non-Applicable,201 to 500 employees, Company - Private,Entertainment
205,205,Hollister Co., Unknown, Unknown,"New Albany, OH",Consumer Products Manufacturing,,, $25 to $50 million (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,Goods & Svcs
206,206,Stryker,, 1941,"Portage, MI",Health Care Products Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (SYK) ,Health
207,207,Zara, Unknown, 1974,Arteixo (Spain),"Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Fashion/Retail
208,208,Quest Diagnostics,, 1967,"Secaucus, NJ",Health Care Services & Hospitals,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (DGX) ,Health
209,209,WeWork,, 2010,"New York, NY",Membership Organizations,,, Unknown / Non-Applicable,10000+ employees, Company - Private,Goods & Svcs
210,210,City of New York, Unknown, 1625,"New York, NY",Municipal Governments,,, Unknown / Non-Applicable per year,10000+ employees, Government,Govnt/Utilities
211,211,Xerox," IBM, Ricoh", 1906,"Norwalk, CT",IT Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (XRX) ,Technology
212,212,SHI International,, 1989,"Somerset, NJ",Computer Hardware & Software,,, $5 to $10 billion (USD) per year,1001 to 5000 employees, Company - Private,Technology
213,213,Penguin Random House, Unknown, 2013,"Baltimore, MD",Publishing,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,Goods & Svcs
214,214,BJ's Wholesale Club,, 1984,"Westborough, MA",Grocery Stores & Supermarkets,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BJ) ,Goods & Svcs
215,215,CIT,, 1908,"New York, NY",Banks & Credit Unions,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Public (CIT) ,Finance
216,216,Ross Stores,, 1957,"Dublin, CA","Department, Clothing, & Shoe Stores",,, $10+ billion (USD) per year,10000+ employees, Company - Public (ROST) ,Fashion/Retail
217,217,Crothall Healthcare,, 2001,"Chesterbrook, PA",Catering & Food Service Contractors,,Compass Group USA, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,Goods & Svcs
218,218,First Data, Unknown, 1971,"Atlanta, GA",Financial Transaction Processing,,Fiserv, $10+ billion (USD) per year,10000+ employees, Company - Public (FDC) ,Finance
219,219,iCIMS," ADP, Oracle, Jobvite", 1999,"Holmdel, NJ",Computer Hardware & Software,,, $100 to $500 million (USD) per year,501 to 1000 employees, Company - Private,Technology
