,Company,Competitors,Founded,Headquarters,Industry,Now known as,Part of,Revenue,Size,Type,Website,Link
256,American Apparel, Unknown, 1998,"Los Angeles, CA", Consumer Products Manufacturing,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Public (APP) ,www.americanapparel.net,"https://www.glassdoor.com/Overview/Working-at-American-Apparel-EI_IE18373.11,27.htm"
257,Shutterstock, Unknown, 2003,"New York, NY", Internet,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Public (SSTK) ,www.shutterstock.com,"https://www.glassdoor.com/Overview/Working-at-Shutterstock-EI_IE270840.11,23.htm"
258,New Jersey Institute of Technology, Unknown, 1881,"Newark, NJ", Colleges & Universities,,, $100 to $500 million (USD) per year,1001 to 5000 employees, College / University,www.njit.edu,"https://www.glassdoor.com/Overview/Working-at-New-Jersey-Institute-of-Technology-EI_IE25816.11,45.htm"
259,Aéropostale, Unknown, 1987,"Lyndhurst, NJ"," Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,10000+ employees, Company - Private,www.aeropostale.com,"https://www.glassdoor.com/Overview/Working-at-Aéropostale-EI_IE14914.11,22.htm"
260,Foot Locker, Unknown, 1974,"New York, NY"," Department, Clothing, & Shoe Stores",,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (FL) ,www.sneakerjobs.com,"https://www.glassdoor.com/Overview/Working-at-Foot-Locker-EI_IE238.11,22.htm"
261,Handy,, 2012,"New York, NY", Internet,,, Unknown / Non-Applicable,51 to 200 employees, Company - Private,www.handy.com,"https://www.glassdoor.com/Overview/Working-at-Handy-EI_IE680570.11,16.htm"
262,Bayer,, 1863,Leverkusen (Germany), Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,10000+ employees, Company - Public (BAYN) ,www.career.bayer.com,"https://www.glassdoor.com/Overview/Working-at-Bayer-EI_IE4245.11,16.htm"
263,Anthropologie, Unknown, 1992,"Philadelphia, PA"," Department, Clothing, & Shoe Stores",,Urban Outfitters, $1 to $2 billion (USD) per year,5001 to 10000 employees, Subsidiary or Business Segment,www.anthropologie.com,"https://www.glassdoor.com/Overview/Working-at-Anthropologie-EI_IE241754.11,24.htm"
264,AppNexus, Unknown, 2007,"New York, NY", Computer Hardware & Software,,Xandr, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.appnexus.com,"https://www.glassdoor.com/Overview/Working-at-AppNexus-EI_IE347870.11,19.htm"
265,TJ Maxx,,,"Framingham, MA"," Department, Clothing, & Shoe Stores",,TJX Companies, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.tjmaxx.com,"https://www.glassdoor.com/Overview/Working-at-TJ-Maxx-EI_IE242612.11,18.htm"
266,Salesforce,, 1999,"San Francisco, CA", Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Public (CRM) ,www.salesforce.com,"https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.11,21.htm"
267,Marriott International," Hyatt, Hilton, InterContinental Hotels Group", 1927,"Bethesda, MD"," Hotels, Motels, & Resorts",,, $10+ billion (USD) per year,10000+ employees, Company - Public (MAR) ,www.marriott.com,"https://www.glassdoor.com/Overview/Working-at-Marriott-International-EI_IE7790.11,33.htm"
268,Santander,, 1856,"Boston, MA", Banks & Credit Unions,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Company - Private,www.santanderbank.com,"https://www.glassdoor.com/Overview/Working-at-Santander-EI_IE828048.11,20.htm"
269,DTCC,, 1973,"New York, NY", Brokerage Services,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.dtcc.com,"https://www.glassdoor.com/Overview/Working-at-DTCC-EI_IE14252.11,15.htm"
270,Allstate," Progressive Insurance, State Farm, Farmers Insurance Group", 1931,"Northbrook, IL", Unknown,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ALL) ,www.allstate.com,"https://www.glassdoor.com/Overview/Working-at-Allstate-EI_IE2341.11,19.htm"
271,Massage Envy,, 2003,"Scottsdale, AZ"," Health, Beauty, & Fitness",,, Unknown / Non-Applicable,10000+ employees, Company - Private,Jobs.MassageEnvy.com,"https://www.glassdoor.com/Overview/Working-at-Massage-Envy-EI_IE114803.11,23.htm"
272,FDM Group,, 1991,"London, England (UK)", IT Services,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Public (FDM ) ,www.fdmgroup.com,"https://www.glassdoor.com/Overview/Working-at-FDM-Group-EI_IE234827.11,20.htm"
273,Columbia University Medical Center, Unknown, Unknown,"New York, NY", Health Care Services & Hospitals,,, $500 million to $1 billion (USD) per year,5001 to 10000 employees, Hospital,www.cumc.columbia.edu,"https://www.glassdoor.com/Overview/Working-at-Columbia-University-Medical-Center-EI_IE369238.11,45.htm"
274,Christie's,, 1766,"London, England (UK)", Auctions & Galleries,,, $5 to $10 billion (USD) per year,1001 to 5000 employees, Company - Private,www.christies.com,"https://www.glassdoor.com/Overview/Working-at-Christie-s-EI_IE10292.11,21.htm"
275,Horizon Media, Unknown, 1989,"New York, NY", Advertising & Marketing,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.horizonmedia.com,"https://www.glassdoor.com/Overview/Working-at-Horizon-Media-EI_IE13677.11,24.htm"
276,Applebee's,, 1980,"Glendale, CA", Casual Restaurants,,Dine Brands Global, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.applebees.com,"https://www.glassdoor.com/Overview/Working-at-Applebee-s-EI_IE1453.11,21.htm"
277,Express Scripts,, 1986,"Saint Louis, MO", Health Care Services & Hospitals,,Cigna, Unknown / Non-Applicable,10000+ employees, Company - Public (ESRX) ,www.express-scripts.com/corporate,"https://www.glassdoor.com/Overview/Working-at-Express-Scripts-EI_IE2212.11,26.htm"
278,PNC Financial Services Group,, 1845,"Pittsburgh, PA", Banks & Credit Unions,,, $10+ billion (USD) per year,10000+ employees, Company - Public (PNC) ,www.pnc.com,"https://www.glassdoor.com/Overview/Working-at-PNC-Financial-Services-Group-EI_IE507.11,39.htm"
279,DSW, Unknown, 1969,"Columbus, OH"," Department, Clothing, & Shoe Stores",,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (DSW) ,www.dsw.com,"https://www.glassdoor.com/Overview/Working-at-DSW-EI_IE38052.11,14.htm"
280,Avis Budget Group,, 1954,"Parsippany, NJ", Commercial Equipment Rental,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (CAR) ,www.avisbudgetgroup.com,"https://www.glassdoor.com/Overview/Working-at-Avis-Budget-Group-EI_IE7303.11,28.htm"
281,McGraw-Hill," Pearson, Houghton Mifflin Harcourt, Cengage", 1888,"New York, NY", Education Training Services,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.mheducation.com,"https://www.glassdoor.com/Overview/Working-at-McGraw-Hill-EI_IE36749.11,22.htm"
282,Vonage, Unknown, 2000,"Holmdel, NJ", Enterprise Software & Network Solutions,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Public (VG) ,www.vonage.com,"https://www.glassdoor.com/Overview/Working-at-Vonage-EI_IE23019.11,17.htm"
283,Comodo, Unknown, 1998,"Clifton, NJ", Accounting,,, $25 to $50 million (USD) per year,51 to 200 employees, Company - Private,www.comodo.com,"https://www.glassdoor.com/Overview/Working-at-Comodo-EI_IE36116.11,17.htm"
284,Atlantic Health System,, 1996,"Morristown, NJ", Health Care Services & Hospitals,,, $2 to $5 billion (USD) per year,10000+ employees, Nonprofit Organization,www.atlantichealth.org,"https://www.glassdoor.com/Overview/Working-at-Atlantic-Health-System-EI_IE17694.11,33.htm"
285,Yext,, 2006,"New York, NY", Internet,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Public (YEXT) ,www.yext.com,"https://www.glassdoor.com/Overview/Working-at-Yext-EI_IE312260.11,15.htm"
286,Mindshare," OMD, Carat, Starcom Worldwide", 1997,"London, England (UK)", Motion Picture Production & Distribution,,GroupM, Unknown / Non-Applicable,5001 to 10000 employees, Subsidiary or Business Segment,www.mindshareworld.com,"https://www.glassdoor.com/Overview/Working-at-Mindshare-EI_IE35287.11,20.htm"
287,OTG Management, Unknown, 1996,"New York, NY", Upscale Restaurants,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.anotgexperience.com,"https://www.glassdoor.com/Overview/Working-at-OTG-Management-EI_IE372150.11,25.htm"
288,CITYMD,, 2010,"New York, NY", Health Care Services & Hospitals,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.citymd.com,"https://www.glassdoor.com/Overview/Working-at-CITYMD-EI_IE690530.11,17.htm"
289,New York City Department of Health & Mental Hygiene, Unknown, Unknown,"New York, NY", Municipal Governments,,, Unknown / Non-Applicable per year,5001 to 10000 employees, Government,www.nyc.gov/html/doh/html/home/home.shtml,"https://www.glassdoor.com/Overview/Working-at-New-York-City-Department-of-Health-and-Mental-Hygiene-EI_IE212691.11,64.htm"
290,Marshalls,, 1956,"Framingham, MA"," Department, Clothing, & Shoe Stores",,TJX Companies, Unknown / Non-Applicable,10000+ employees, Subsidiary or Business Segment,www.marshalls.com,"https://www.glassdoor.com/Overview/Working-at-Marshalls-EI_IE155412.11,20.htm"
291,Celgene, Unknown, 1986,"Summit, NJ", Biotech & Pharmaceuticals,,, $10+ billion (USD) per year,5001 to 10000 employees, Company - Public (CELG) ,www.celgene.com,"https://www.glassdoor.com/Overview/Working-at-Celgene-EI_IE1235.11,18.htm"
292,AXA Equitable, Unknown, 1959,"New York, NY", Insurance Carriers,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Public (EQH) ,www.axa-equitable.com,"https://www.glassdoor.com/Overview/Working-at-AXA-Equitable-EI_IE19955.11,24.htm"
293,US Army, Unknown, 1775,"Washington, DC", Unknown,,, Unknown / Non-Applicable per year,10000+ employees, Government,www.army.mil,"https://www.glassdoor.com/Overview/Working-at-US-Army-EI_IE41322.11,18.htm"
294,Genpact,, 1997,"New York, NY", IT Services,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (G) ,www.genpact.com,"https://www.glassdoor.com/Overview/Working-at-Genpact-EI_IE42613.11,18.htm"
295,Commvault,, 1996,"Tinton Falls, NJ", Enterprise Software & Network Solutions,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Public (CVLT) ,www.commvault.com,"https://www.glassdoor.com/Overview/Working-at-Commvault-EI_IE16184.11,20.htm"
296,BBDO, Unknown, 1986,"New York, NY", Advertising & Marketing,,, $500 million to $1 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.bbdo.com,"https://www.glassdoor.com/Overview/Working-at-BBDO-EI_IE14065.11,15.htm"
297,MediaMath," Criteo, AppNexus, dataxu", 2007,"New York, NY", Advertising & Marketing,,, $100 to $500 million (USD) per year,501 to 1000 employees, Company - Private,www.mediamath.com,"https://www.glassdoor.com/Overview/Working-at-MediaMath-EI_IE346865.11,20.htm"
298,Bain & Company,, 1973,"Boston, MA", Consulting,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Private,www.bain.com,"https://www.glassdoor.com/Overview/Working-at-Bain-and-Company-EI_IE3752.11,27.htm"
299,Achievement First,, 2005,"Brooklyn, NY", K-12 Education,,, $1 to $5 million (USD) per year,1001 to 5000 employees, School / School District,www.achievementfirst.org,"https://www.glassdoor.com/Overview/Working-at-Achievement-First-EI_IE297029.11,28.htm"
300,NYSE," London Stock Exchange Group, Deutsche Börse Group, Nasdaq", 1817,"New York, NY", Investment Banking & Asset Management,,Intercontinental Exchange, $25 to $50 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.nyse.com,"https://www.glassdoor.com/Overview/Working-at-NYSE-EI_IE3307.11,15.htm"
301,Amplify,, 2010,"Brooklyn, NY", K-12 Education,,, $100 to $500 million (USD) per year,201 to 500 employees, Company - Private,www.amplify.com,"https://www.glassdoor.com/Overview/Working-at-Amplify-EI_IE689638.11,18.htm"
302,Dollar Tree, Unknown, Unknown,"Chesapeake, VA", Unknown,,, $10+ billion (USD) per year,10000+ employees, Company - Public (DLTR) ,www.dollartree.com,"https://www.glassdoor.com/Overview/Working-at-Dollar-Tree-EI_IE4033.11,22.htm"
303,XO Group," Zola Registry, WeddingWire", 1996,"New York, NY", Internet,,The Knot Worldwide, $100 to $500 million (USD) per year,501 to 1000 employees, Company - Public (XOXO) ,www.xogroupinc.com,"https://www.glassdoor.com/Overview/Working-at-XO-Group-EI_IE9843.11,19.htm"
304,A+E Networks," Discovery, Inc., Turner Broadcasting, AMC Networks", 1984,"New York, NY", TV Broadcast & Cable Networks,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Private,www.aenetworks.com,"https://www.glassdoor.com/Overview/Working-at-A-E-Networks-EI_IE5485.11,23.htm"
305,Ladders," Indeed, LinkedIn", 2003,"New York, NY", Internet,,, Unknown / Non-Applicable,51 to 200 employees, Company - Private,www.theladders.com,"https://www.glassdoor.com/Overview/Working-at-Ladders-EI_IE39451.11,18.htm"
306,Aramark,, 1959,"Philadelphia, PA", Building & Personnel Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (ARMK) ,www.aramark.com,"https://www.glassdoor.com/Overview/Working-at-Aramark-EI_IE2716.11,18.htm"
307,Publicis Sapient,, 1990,"Boston, MA", Consulting,,, Unknown / Non-Applicable,10000+ employees, Company - Public,www.publicissapient.com,"https://www.glassdoor.com/Overview/Working-at-Publicis-Sapient-EI_IE1646026.11,27.htm"
308,FedEx Ground,, 2000,"Coraopolis, PA", Logistics & Supply Chain,,, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.fedex.com/us/ground,"https://www.glassdoor.com/Overview/Working-at-FedEx-Ground-EI_IE16846.11,23.htm"
309,Williams Lea Tag, Unknown, 1820,"London, England (UK)", Advertising & Marketing,,, Unknown / Non-Applicable,10000+ employees, Company - Private,www.wlt.com,"https://www.glassdoor.com/Overview/Working-at-Williams-Lea-Tag-EI_IE31609.11,27.htm"
310,Brown Brothers Harriman," Morgan Stanley, Goldman Sachs", 1818,"New York, NY", Investment Banking & Asset Management,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Private,www.bbh.com,"https://www.glassdoor.com/Overview/Working-at-Brown-Brothers-Harriman-EI_IE3668.11,34.htm"
311,GLG,, 1998,"New York, NY", Membership Organizations,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.glg.it,"https://www.glassdoor.com/Overview/Working-at-GLG-EI_IE229651.11,14.htm"
312,Huge," R/GA, AKQA", 1999,"Brooklyn, NY", Internet,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.hugeinc.com,"https://www.glassdoor.com/Overview/Working-at-Huge-EI_IE139928.11,15.htm"
313,Protiviti,, 2002,"Menlo Park, CA", Consulting,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Public,www.protiviti.com,"https://www.glassdoor.com/Overview/Working-at-Protiviti-EI_IE30849.11,20.htm"
314,Univision, Unknown, 1962,"New York, NY", News Outlet,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Private,corporate.univision.com,"https://www.glassdoor.com/Overview/Working-at-Univision-EI_IE6046.11,20.htm"
315,Cisco Systems,, 1984,"San Jose, CA", Computer Hardware & Software,,, $10+ billion (USD) per year,10000+ employees, Company - Private,www.cisco.com,"https://www.glassdoor.com/Overview/Working-at-Cisco-Systems-EI_IE1425.11,24.htm"
316,FOX News, Unknown, 1994,"New York, NY", TV Broadcast & Cable Networks,,Fox Corporation, $100 to $500 million (USD) per year,Unknown, Subsidiary or Business Segment,www.foxnews.com,"https://www.glassdoor.com/Overview/Working-at-FOX-News-EI_IE19525.11,19.htm"
317,ALM,, 1843,"New York, NY", Publishing,,, $100 to $500 million (USD) per year,501 to 1000 employees, Company - Private,www.alm.com,"https://www.glassdoor.com/Overview/Working-at-ALM-EI_IE340655.11,14.htm"
318,Research Foundation of CUNY, Unknown, 1963,"New York, NY", Colleges & Universities,,, $100 to $500 million (USD) per year,10000+ employees, Nonprofit Organization,www.rfcuny.org,"https://www.glassdoor.com/Overview/Working-at-Research-Foundation-of-CUNY-EI_IE17450.11,38.htm"
319,Michaels," Toys ""R"" Us, Hobby Lobby, PetSmart", 1973,"Irving, TX", Toy & Hobby Stores,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (MIK) ,www.michaels.com,"https://www.glassdoor.com/Overview/Working-at-Michaels-EI_IE945.11,19.htm"
320,Six Flags," Cedar Fair, SeaWorld Parks & Entertainment, Herschend Entertainment", 1961,"Grand Prairie, TX"," Museums, Zoos & Amusement Parks",,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Public (SIX) ,www.sixflagsjobs.com,"https://www.glassdoor.com/Overview/Working-at-Six-Flags-EI_IE6021.11,20.htm"
321,Tory Burch, Unknown, 2004,"New York, NY"," Department, Clothing, & Shoe Stores",,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.toryburch.com,"https://www.glassdoor.com/Overview/Working-at-Tory-Burch-EI_IE38635.11,21.htm"
322,The Nature's Bounty Co.,, 1971,"Ronkonkoma, NY", Consumer Products Manufacturing,,, $2 to $5 billion (USD) per year,1001 to 5000 employees, Company - Private,www.naturesbountyco.com,"https://www.glassdoor.com/Overview/Working-at-The-Nature-s-Bounty-Co-EI_IE1686.11,33.htm"
323,City College of New York, Unknown, 1847,"New York, NY", Colleges & Universities,,, $5 to $10 million (USD) per year,1 to 50 employees, College / University,www.ccny.cuny.edu,"https://www.glassdoor.com/Overview/Working-at-City-College-of-New-York-EI_IE128592.11,35.htm"
324,Havas Worldwide,, 1999,"New York, NY", Advertising & Marketing,,Havas Group, Unknown / Non-Applicable,10000+ employees, Subsidiary or Business Segment,www.havas.com,"https://www.glassdoor.com/Overview/Working-at-Havas-Worldwide-EI_IE14455.11,26.htm"
325,Postmates,, 2011,"San Francisco, CA", Express Delivery Services,,, Unknown / Non-Applicable,1001 to 5000 employees, Company - Private,www.postmates.com,"https://www.glassdoor.com/Overview/Working-at-Postmates-EI_IE620298.11,20.htm"
326,Macquarie Group,, 1969,Sydney (Australia), Investment Banking & Asset Management,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (MQG) ,www.macquarie.com,"https://www.glassdoor.com/Overview/Working-at-Macquarie-Group-EI_IE12088.11,26.htm"
327,McCann Worldgroup,, 1902,"New York, NY", Advertising & Marketing,,, $500 million to $1 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.mccannworldgroup.com,"https://www.glassdoor.com/Overview/Working-at-McCann-Worldgroup-EI_IE14074.11,28.htm"
328,Cantor Fitzgerald, Unknown, 1945,"New York, NY", Investment Banking & Asset Management,,, $1 to $2 billion (USD) per year,1001 to 5000 employees, Company - Private,www.cantor.com,"https://www.glassdoor.com/Overview/Working-at-Cantor-Fitzgerald-EI_IE12073.11,28.htm"
329,Wolters Kluwer," Thomson Reuters, Pearson, RELX", 1836,Alphen aan den Rijn (Netherlands), Consulting,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (WKL) ,www.wolterskluwer.com,"https://www.glassdoor.com/Overview/Working-at-Wolters-Kluwer-EI_IE10497.11,25.htm"
330,Cushman & Wakefield,, 1917,"Chicago, IL", Real Estate,,, Unknown / Non-Applicable,10000+ employees, Company - Public (CWK) ,www.cushmanwakefield.com,"https://www.glassdoor.com/Overview/Working-at-Cushman-and-Wakefield-EI_IE7416.11,32.htm"
331,St. John's University, Unknown, Unknown,"Jamaica, NY", Colleges & Universities,,, $100 to $500 million (USD) per year,1001 to 5000 employees, College / University,www.stjohns.edu,"https://www.glassdoor.com/Overview/Working-at-St-John-s-University-EI_IE5329.11,31.htm"
332,Party City," Walmart, Celebrate Express, Oriental Trading Company", 1986,"Rockaway, NJ", Other Retail Stores,,, $25 to $50 million (USD) per year,501 to 1000 employees, Company - Public (PRTY) ,www.partycity.com,"https://www.glassdoor.com/Overview/Working-at-Party-City-EI_IE6126.11,21.htm"
333,Meredith Corporation," Hearst, Media General", 1902,"Des Moines, IA", Publishing,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public (MDP) ,www.meredith.com,"https://www.glassdoor.com/Overview/Working-at-Meredith-Corporation-EI_IE439.11,31.htm"
334,Uncommon Schools,,,"New York, NY", K-12 Education,,, Unknown / Non-Applicable,1001 to 5000 employees, Nonprofit Organization,www.uncommonschools.org,"https://www.glassdoor.com/Overview/Working-at-Uncommon-Schools-EI_IE315867.11,27.htm"
335,FedEx, Unknown, 1973,"Memphis, TN", Express Delivery Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public (FDX) ,www.fedex.com,"https://www.glassdoor.com/Overview/Working-at-FedEx-EI_IE246.11,16.htm"
336,Mondelēz International,, 2012,"Deerfield, IL", Food & Beverage Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (MDLZ) ,www.mondelezinternational.com,"https://www.glassdoor.com/Overview/Working-at-Mondelēz-International-EI_IE628257.11,33.htm"
337,Teach for America, Unknown, 1990,"New York, NY", Education Training Services,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Nonprofit Organization,www.teachforamerica.org,"https://www.glassdoor.com/Overview/Working-at-Teach-for-America-EI_IE105049.11,28.htm"
338,Henry Schein," Patterson Dental, McKesson", 1932,"Melville, NY", Wholesale,,, $5 to $10 billion (USD) per year,10000+ employees, Company - Public (HSIC) ,www.henryschein.com,"https://www.glassdoor.com/Overview/Working-at-Henry-Schein-EI_IE5319.11,23.htm"
339,Metropolitan Museum of Art, Unknown, 1870,"New York, NY", Social Assistance,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Nonprofit Organization,www.metmuseum.org,"https://www.glassdoor.com/Overview/Working-at-Metropolitan-Museum-of-Art-EI_IE238657.11,37.htm"
340,5W Public Relations,, 2003,"New York, NY", Advertising & Marketing,,, Unknown / Non-Applicable,51 to 200 employees, Company - Private,www.5wpr.com,"https://www.glassdoor.com/Overview/Working-at-5W-Public-Relations-EI_IE33873.11,30.htm"
341,SCO Family of Services, Unknown, 1895,"Glen Cove, NY", Social Assistance,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Nonprofit Organization,www.sco.org,"https://www.glassdoor.com/Overview/Working-at-SCO-Family-of-Services-EI_IE574431.11,33.htm"
342,Bath & Body Works, Unknown, 2002,"Reynoldsburg, OH", Beauty & Personal Accessories Stores,,L Brands, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.bathandbodyworks.com,"https://www.glassdoor.com/Overview/Working-at-Bath-and-Body-Works-EI_IE13902.11,30.htm"
343,Willis Towers Watson,, 1828,"London, England (UK)", Consulting,,, $10+ billion (USD) per year,10000+ employees, Company - Public (WLTW) ,www.willistowerswatson.com,"https://www.glassdoor.com/Overview/Working-at-Willis-Towers-Watson-EI_IE1122768.11,31.htm"
344,OMD, Unknown, 1994,"New York, NY", Advertising & Marketing,,Omnicom Media Group, $10+ billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.omd.com,"https://www.glassdoor.com/Overview/Working-at-OMD-EI_IE28659.11,14.htm"
345,Mizuho Financial Group,, 2002,Tokyo (Japan), Investment Banking & Asset Management,,, Unknown / Non-Applicable,10000+ employees, Company - Public (MFG) ,www.mizuhoamericas.com,"https://www.glassdoor.com/Overview/Working-at-Mizuho-Financial-Group-EI_IE42320.11,33.htm"
346,Everyday Health Group,, 2002,"New York, NY", Publishing,,, $100 to $500 million (USD) per year,201 to 500 employees, Subsidiary or Business Segment,www.everydayhealthgroup.com,"https://www.glassdoor.com/Overview/Working-at-Everyday-Health-Group-EI_IE101724.11,32.htm"
347,Albert Einstein College of Medicine, Unknown, Unknown,"Bronx, NY", Colleges & Universities,,, $100 to $500 million (USD) per year,1001 to 5000 employees, College / University,www.aecom.yu.edu,"https://www.glassdoor.com/Overview/Working-at-Albert-Einstein-College-of-Medicine-EI_IE128404.11,46.htm"
348,Facebook,, 2004,"Menlo Park, CA", Internet,,, $10+ billion (USD) per year,10000+ employees, Company - Public (FB) ,www.facebook.com,https://www.glassdoor.com/facebook
349,CBRE,, 1906,"Los Angeles, CA", Real Estate,,, Unknown / Non-Applicable,10000+ employees, Company - Public (CBRE) ,www.cbre.com,"https://www.glassdoor.com/Overview/Working-at-CBRE-EI_IE465818.11,15.htm"
350,Fitch Ratings,, 1913,"New York, NY", Financial Analytics & Research,,, $100 to $500 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.fitchratings.com,"https://www.glassdoor.com/Overview/Working-at-Fitch-Ratings-EI_IE8579.11,24.htm"
351,Bethpage Federal Credit Union,, 1941,"Bethpage, NY", Banks & Credit Unions,,, Unknown / Non-Applicable,501 to 1000 employees, Nonprofit Organization,www.bethpagefcu.com,"https://www.glassdoor.com/Overview/Working-at-Bethpage-Federal-Credit-Union-EI_IE149409.11,40.htm"
352,The Coca-Cola Company,, 1886,"Atlanta, GA", Food & Beverage Manufacturing,,, $10+ billion (USD) per year,10000+ employees, Company - Public (KO) ,www.coca-colacompany.com,"https://www.glassdoor.com/Overview/Working-at-The-Coca-Cola-Company-EI_IE161.11,32.htm"
353,LinkedIn," XING AG, Monster Worldwide", 2003,"Mountain View, CA", Internet,,Microsoft, $2 to $5 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.linkedin.com,"https://www.glassdoor.com/Overview/Working-at-LinkedIn-EI_IE34865.11,19.htm"
354,Barneys," Bergdorf Goodman, Saks Fifth Avenue, Bloomingdale's", 1923,"New York, NY"," Department, Clothing, & Shoe Stores",,, $100 to $500 million (USD) per year,1001 to 5000 employees, Company - Private,www.barneys.com,"https://www.glassdoor.com/Overview/Working-at-Barneys-EI_IE4070.11,18.htm"
355,Oliver Wyman,, 1984,"New York, NY", Consulting,,Marsh & McLennan Companies, $10 to $25 million (USD) per year,1001 to 5000 employees, Subsidiary or Business Segment,www.oliverwyman.com,"https://www.glassdoor.com/Overview/Working-at-Oliver-Wyman-EI_IE40206.11,23.htm"
356,Raymour & Flanigan, Unknown, 1947,"Liverpool, NY", Home Furniture & Housewares Stores,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Private,www.raymourflanigan.com,"https://www.glassdoor.com/Overview/Working-at-Raymour-and-Flanigan-EI_IE16061.11,31.htm"
357,Verisk Analytics,, 1971,"Jersey City, NJ", Research & Development,,, $2 to $5 billion (USD) per year,5001 to 10000 employees, Company - Public (VRSK) ,www.verisk.com,"https://www.glassdoor.com/Overview/Working-at-Verisk-Analytics-EI_IE140233.11,27.htm"
358,Conduent,, 2017,"Florham Park, NJ", IT Services,,, Unknown / Non-Applicable,10000+ employees, Company - Public (CNDT) ,www.conduent.com,"https://www.glassdoor.com/Overview/Working-at-Conduent-EI_IE1492856.11,19.htm"
359,Ricoh USA,, 1936,"Exton, PA", IT Services,,, $10+ billion (USD) per year,10000+ employees, Company - Public,www.ricoh-usa.com,"https://www.glassdoor.com/Overview/Working-at-Ricoh-USA-EI_IE21210.11,20.htm"
360,inVentiv Health," Publicis, PPD, Covance", 1999,"Raleigh, NC", Health Care Services & Hospitals,Syneos Health ,, $1 to $2 billion (USD) per year,10000+ employees, Subsidiary or Business Segment,www.inventivhealth.com,"https://www.glassdoor.com/Overview/Working-at-inVentiv-Health-EI_IE9919.11,26.htm"
361,IPsoft, IBM, 1998,"New York, NY", IT Services,,, $500 million to $1 billion (USD) per year,1001 to 5000 employees, Company - Private,www.ipsoft.com,"https://www.glassdoor.com/Overview/Working-at-IPsoft-EI_IE101271.11,17.htm"
362,IQVIA,, 2017,"Durham, NC", Health Care Services & Hospitals,,, $2 to $5 billion (USD) per year,10000+ employees, Company - Public (IQV) ,www.iqvia.com,"https://www.glassdoor.com/Overview/Working-at-IQVIA-EI_IE8347.11,16.htm"
